airlines;date_post;text;sentiment
cathay-pacific-airways;2018-09-13;" |  Manila to Nagoya via Hong Kong. Haven’t flown with this airline for more than three years. They still offer exceptional service, the cabin is now more spacious with the new aircraft, including its seat legroom. The movies though are quite limited with more dramas which is quite boring.";POSITIVE
cathay-pacific-airways;2018-09-12;" |  Very short space for the legs, especially in the longest route from Rome to Hong Kong. Horrible food, I’m vegetarian and chose the vegan meal, but all the snacks were full of milk (I’m lactose intolerant). For breakfast we received food that people eat for supper: for me mushroom and lentils, my husband chicken and pasta. In the return journey, in Hong Kong, we had 2 hours of delay to wait for 40 passengers of another flight, and although we had been traveling for 8 hours (Osaka to Hong Kong to Rome) we did not receive any assistance, not even a bottle of water. I think I will not travel again with Cathay.";POSITIVE
cathay-pacific-airways;2018-09-07;" |  Los Angeles to Okinawa via Hong Kong. My first time to fly Cathay Pacific.  Flight was on time, aircraft was clean. Seating was comfortable. Food was ok, not that fantastic but ok. In flight Entertainment was awesome, lots of choices. Crew were very pleasant. I would fly Cathay Pacific again anytime, however the air fares are quite pricey. There are other airlines with the same service and yet have better air fares. The service agents at Okinawa airport are very helpful. We had to check in excess luggage and the agent helped us pack another box, no hassle. My husband also ordered a Bloody Mary, not enough booze on it, just a lot of tomato juice. ";POSITIVE
cathay-pacific-airways;2018-09-04;" |  New York to Hong Kong. Boarding for economy was rather confusing. While the announcer stated that those with seats in rows 59-72 could board, another agent instructed me and others who had seats in these rows to join a queue that did not move. (Then why did the first agent instruct us to board?) Onboard service was very good, but the meals served fell a little short of the standard one would expect from Cathay. The chicken with mashed potatoes was edible, but uninspiring, while the beef congee was too watered down. Neither meal came with condiments such as salt and pepper. Was that due to cutbacks?  I've flown Cathay many times now, but this flight was not its best.";POSITIVE
cathay-pacific-airways;2018-08-31;" |  I booked ""premium"" economy after reviewing the amenities on the website and discussing them with a live agent. (Wait time on the telephone was over 1 hr both times I called!) The flights from JFK - Hong Kong - Siem Reap were fine and the amenities, provided. The flights from Ho Chi Minh to Hong Kong to JFK were awful. Cathay had a delay which caused me to miss my connecting flight. I was promised an upgrade by the gate agent because of the long wait I would have to endure. Upon arrival in Hong Kong, I was denied the upgrade and moved from my window seat to a center seat in the row of 5 seats. After much arguing, they miraculously found a window seat for me. They offered to provide a car in NY to transport me home which, after waiting an hour, they reneged on. However, the most disturbing issue is the advertising of amenities in ""premium"" economy: calf rests at the seat, separate check in and boarding lines and a champagne welcome. None of the amenities were provided. Other than being wider, the seat was no different than flying regular economy. The lines to check in and board were ridiculous and service aboard was awful. Attempts at resolving these issues have been met with a stubborn refusal to acknowledge that they did not provide a ""premium"" experience. Airline has no concern for customer satisfaction. I would never fly them again and certainly, do not recommend spending so much more money for ""premium"" when they don't deliver the product as advertised.";NEGATIVE
cathay-pacific-airways;2018-08-30;" |  Gatwick to Melbourne via Hong Kong. Pleased with Gatwick on lunchtime departure. Just check for South Terminal at F Gate, Nice casual boarding [unlike the demeaning line up and wait at Hong Kong]. Cabin staff always welcoming and helpful. Every seat taken - seems a Cathay method. Typically a polite crowd to travel with, majority Chinese, a few Australians and British. I had a low calorie meal on order, so got served maybe 30 minutes ahead of others and by personal delivery. Out of Gatwick the main was delicious fish - very good even if no choice and no menu. Captain message as usual on this airline was English name and well spoken. I rate this airline for having British pilots - gives me confidence in basic skills and also the ability to communicate clearly in the event of difficulties. I told myself the A350 has been in service on this route for over a year, and is used intensively, flying into Gatwick after 11 hours from HK and ready to return at lunchtime. The Cathay themed seats in aqua green are starting to look tired, as also the furniture in the toilets [Try liifting the lid and some stain on the rim]. I require several breaks from sitting as I rarely get to sleep. So I found a small space near the aft toilet where I could pass 30 minutes doing easy knee and toe exercises without being hassled by the crew. [This used to be easier on the 747 with its extra space]. The allocation of toilets was just ok, I counted five located midway and aft. The nice thing about the A350 is that it is not carrying huge numbers, easier to manage. The meals are only average, lacking some extras such as hand towel and block of real cheese. Wine [red or white] comes in a plastic glass - gone is the mini bottle. On boarding, there is no welcome juice or hot towel. The seats feel spacious but are short on supportive cushioning. I actually bolster the seat with the blanket and pillow to support low spine and thighs. The choice of movies is good but falls short of the Qatar Airways range. I enjoy checking the route out over Lowestoft and north to Denmark and the baltic states before an amazing great circle route over Russia through to China. I enjoy the live video cams showing take off and landing. Fortunately daytime on transit in Hong Kong Airport [It is depressingly closed there on night time transits] found a western style breakfast cafe. But kept wishing it was Singapore with its fantastic restaurants. From there Cathay lost points by transferring us to a tired looking B777ER and lining us up like cheap people for 30 minutes before boarding. They could do this much better. Deperture 30 minutes late was not made up. On attempted touch down in Melbourne [shown on video] the pilot aborted landing at the last moment and took off for another attempt. He blamed cross winds for this but I suspect the speed and decline were out of sync. Arrived 4 minutes late turning 11.05 pm. Just one thing to remember, on arrival at Gatwick the Cathay gate is very remote and there are no airport toilets for that sudden need, for maybe 20 minutes hard walking. Impression, love the airline its helpful crew and the route but will have to compare Qatar on price and miss the comfort of Singapore Airport. Disappointed by the B777ER on the Melbourne leg.";POSITIVE
cathay-pacific-airways;2018-08-28;" |  Toronto to Colombo via Hong Kong. My flight to Hong Kong from Toronto was cancelled and the next possible flight was given after two days. When assigning accommodation, they only gave us one voucher saying it’s for all four members in my family. But when we reached the hotel, they refused to arrange the necessary rooms for us saying that we have not gotten the proper vouchers. We have been held up at the airport for more than 8hrs being business class passengers they do not give us any priority. The staff is very unprofessional and do not know how to handle a situation as such. Very disappointed in the service and will never use this airline to fly again.";NEGATIVE
cathay-pacific-airways;2018-08-28; |  Manila to Delhi via Hong Kong. Flight was delayed because of unavoidable reasons at airport but the management of the situation was so unprofessional. I spent more than 15 hrs at manila airport without any intimation of flight orany resting lounge. Inflight they said sorry we don't have anything vegetarian food on board. Again waited for 15 hrs at Hong Kong airport with same amazing facilities. The flight that was scheduled for 15 hrs took almost 40 hrs and rude attitude of staff. Never expected such a unpleasant flying experience.;NEGATIVE
cathay-pacific-airways;2018-08-27;" |  Hong Kong to London. Excellent flight with friendly professional cabin crew . In flight entertainment system was large selection of Movies and entertainment, large selection of duty free and do accept verity Of method check or credit card. Service sequence was well organized. I would recommend Cathay Pacific. ";POSITIVE
cathay-pacific-airways;2018-08-27;" |  In August 2018, I flew Cathay Pacific from Vancouver to Johannesburg via Hong Kong in Economy Class My return trip used the same route but on Premium Economy. Departure time was delayed, food was average, perhaps because I ordered a special meal (Moslem meal). On both outbound and inbound trips, I was served food with lack of politeness. I had the impression that I was being sort of punished for ordering a special meal: I was once denied bread, my claim for coffee many times ignored. However, I refrained from complaining.  Seats were fair on Economy and very good on Premium Economy. No particular complaint over seats.  Inflight entertainment was excellent. Being a Marco Polo Green member didn’t really give me the kind of treatment I was expecting. Above all I was struck by the rudeness of stewardess I dealt with on both outbound and inbound flights.";NEGATIVE
