airlines;date_post;text;sentiment
emirates;2018-09-11;" |  During my flight back home to Singapore from Dubai, I was given 41 A seat, so happy that it's located in exit area seat which means a nice leg room. After almost an hour of flying, I decided to watch using the IFE, known as ICE. I was shocked that my IFE monitor is not working plus my remote control. I even borrowed the control of my seat mate to call the attention of the flight stewardess. After few minutes of ""checking"", they finally give up. After almost an hour again, they offered me to transfer seat. Initially, I'm hesitant because I love my seat and its pretty quiet, but I realized that without entertainment for more than 7 hours of flight will kill me. Now, I find myself at 67G, which is also an ""exit"" seat. When I turned on the IFE, it's working, only to realized that I'm in the middle of the plane which means near the 4 engines which makes my flight uncomfortable. Lesson learned, buy a noise cancelling headphones.";NEGATIVE
emirates;2018-09-10;" |  Paris to Colombo via Dubai. On the way a seat that did not work completely, and more than average food on the way back. But a crew that was attentive. The lounge of Paris is very average, that of Colombo is zero, and that of Dubai gigantic, soulless but with a permanent service and very attentive. FR: A l’aller un siège qui ne fonctionnait pas totalement, et un nouriture plus que moyenne à l’aller comme au retour. Mais un équipage toujours attentionné. Le lounge de paris est très très moyen celui de Colombo est nul et celui de Dubaï gigantesque, sans âme mais avec un service permanent et très attentionné.";POSITIVE
emirates;2018-09-09;" |  Sydney to Christchurch return. Great service both at the airport and on board. The in-flight meal was very tasty and in generous quantity. Check-in staff at both Sydney and Christchurch airports were courteous, friendly, and helpful. Flight attendants were professional and efficient. I was impressed by their no-frill but pragmatic approach to customer service. Would definitely fly with them in the future.";POSITIVE
emirates;2018-09-08;" |  Cebu to Copenhagen via Dubai. Not an airline that cares about there customers. Almost everything went wrong, and Emirates do not care! As we take off from Clark to Dubai I got About 1 litre of water in my lap, so that I had to sit with wet pants most of the way, and on top of that, the entertainment system was defective. They did not have any food for my 16-month-old son, they would have had if he was on the bottle, but he is on solid food so my wife shared her food whit him, or what she got, for the only thing that they got was half a kids meal. So we had to buy some food when we got to Dubai. On the way back the boarding was a complete chaos we were but in a bus for 40 min. waiting or going around in circles, without any information, before we got to the plane, and there it looked like the one that had to be in front in the plane was dropped on in the back, and the other way around.";NEGATIVE
emirates;2018-09-04;" |  Muscat to Guangzhou via Dubai. Everything was good in the inbound flight and there was no issue. On the other hand, my outbound flight had many issues. First of all, the agents who handled the check in were not polite and knowledgeable of English so that they can understand passengers and passengers can understand them. I had an agent who told me that I have 19kg excess baggage while I was sure that I have checked the baggage three times in my hotel and they were with in the limit. I asked the agent to double check and put them on the scale again individually since he was putting them all together and hand calculating the total weight. The agent refused to do so and refused to ask for his supervisor to come and kept saying ""It is Dubai, Check with Dubai"" He was about to return all the bags to me until I make the payment, I told him Ok check the bags and finish the check in so that my family and I will go and do the payment. He said ""first make payment and then will check the bags""! He kept my family standing there with my children and I went to do the payment. When I asked the other agent also to go and check or ask that guy in the counter to check she refused and said the same ""check with Dubai"". I paid the $570 for 19kg which I really think it is ridiculously insane charge for 19kg. In front of the gate, several agents were collecting the carry on bags to check them in for free and they did check all my carry on bags that weighs more than 20kg. Then they asked to take my cabin friendly baby stroller to check in because they where not aware of this type of strollers, although I informed them about it and showed them how it folds but they did not listen and they were unaware of this type of stroller. I purchased this type so that baggage handling dont break my stroller. They lost one of my baggage and I could not get it before the Eid. Even some cheap airlines gives food that is better than the food served in Emirates airlines and they served the same food in both flights although they were in different times. The seat size is ok but the quality of the touch screen can be improved. ";NEGATIVE
emirates;2018-09-04;" |  Beirut to Manila via Dubai. I booked my exit seat ahead of time and paid an additional charge of $150USD per way for the seat only to find out that the seat closest to the exit door not only had no window and felt very claustrophobic, but the seat itself was smaller and tighter then all the other seats. On top of all this the seat itself was defective as it would not recline and stay reclined. When I told the pursuer of this issue he said he will refund my money and file a complain but i neither received any refund nor did he show me any filling of any formal complaint. Actually i never saw him again throughout the whole 9 hour flight. At the Duty free airport in Beirut I had purchased some food stuff and other items  to hand carry to dubai. When i was boarding the flight from Dubai to the Manila a man stopped me and asked me to weight my hand carry, he said that the hand carry was acceptable since I already brought it from Lebanon but my Duty free items which weighed 7 Kg more was to be charged an additional $35 USD per kilo totalling $245 addition charge.  No one said that if you buy anything from Duty free you will be charged for additional weight.";NEGATIVE
emirates;2018-09-02;" |  Entebbe to Dubai. The ""worst experience"" as posted before from Rhianna Miller can still be topped! Not only did we have same problems with not working TVs generating heat - unbearable dryness - non-english announcements, no meaningful security briefing - a mini veggie lasagne handed over without a tray for a 6+ hour stay in the plane - a seat spacing which was meant for people under 160 cm only - back rests which could not recline at all, no pillows nor blankets. I booked Emirates (EK2447) for their service quality, and got this horror.";NEGATIVE
emirates;2018-09-01;" | Do not fly Emirates! I booked a first class ticket Singapore - Kuwait. I ran through several issues. First, as a first class passenger I was unable to change my flights online (I had to go through the inconvenience of visiting the nearest Emirates office to do that.) Is this for real? And you expect me to return as a first class passenger Emirates? Second, the service was horrible! Can you believe it took them over 20 minutes to prepare breakfast for me? When I asked for the cause of the delay they claimed that it took time to heat the meal. However, when I ran back to the galley to take sugar for my hot chocolate I found 5 or 6 cabin crew having a meal and chatting together rather than looking after their first class passengers. I do not think I would ever pay again for a first class ticket for Emirates, nor do I recommend any one to fly First Class with Emirates. Very bad tasted has been left in my mouth. No compensations offered.";NEGATIVE
emirates;2018-09-01;" | Flew Beirut to San Francisco via Dubai. Not all of us can fly business across continents, and with the reviews I read on Emirates, I thought this would be the best option to travel to SFO in Economy. It's an A380 and the flight was extremely uncomfortable. Every inch was used and leg room was not considered, I am not a tall person! The food was below standards, and I can compare with many airlines, the cabin smelt unacceptable, over booked and way too many carryons to find a space for my own! I travel a lot and have experienced many airlines. It's a shame really that all this hype was for nothing. The A/C was visually clean, as were the restrooms, service was not too bad and the entertainment is what made me survive the flight. I was thoroughly disappointed, and will not be doing that again.";NEGATIVE
emirates;2018-09-01;" |  Gatwick to Dubai. I've noticed a drop in customer service over the years I've flown with Emirates and now it's going back up. This flight was the second leg of two flights to and from DXB and LGW. Service was exceptional, especially ground service. Service at Dubai on the first leg was and is never as good as London, but still very polite. Seats seemed comfortable, and tv screen was new. Service was very good onboard. Food was yummy lunch of sausage peas and mash potato, and the beverage cart came round once and I noticed that they were skipping rows with the drink cart. Duty-free shopping magazine was OK. ";POSITIVE
