airlines;date_post;text;sentiment
lufthansa;2018-09-11;" |  Miami to Frankfurt. Lufthansa claims to have gate arrival/transfer assistance for First Class passengers. On LH463, First Class (paid) on June 26, 2018, I arrived in Frankfurt with a relatively short connection. I had asked the purser onboard if gate assistance would be provided, as I was unfamiliar with the Frankfurt airport and had heard horror stories about maneuvering through this older maze of an airport. I was assured there would be gate assistance. After leaving the A380 - huge masses of people were herding in every direction imaginable and no one from Lufthansa greeted the flight or was there to assist First Class passengers. Over an hour later, I managed to find my way to the First Class lounge where the agents were clueless and acted like I was expecting too much to expect assistance, even after I had asked about it and tried to confirm it would be available. Lufthansa in fact does not provide gate assistance in all cases for First Class passengers and their rating should reflect this case. In addition, Wifi was not working on the flight even though the aircraft was Wifi equipped. Cabin crew could have cared less and suggested I enjoy time away from my computer!";POSITIVE
lufthansa;2018-09-07;" |  My wife and I recently flew from Houston to Florence with a connection in Frankfurt. We arrived at 09:00am, went through customs which took over an hour, walked to terminal B, went through the slowest, most inefficient security line I have ever seen, then walked to our gate. We arrived at the gate at 11:08am and were told they had already closed the gates and could no longer board us even though the plane was still sitting there. I assumed this wouldn’t be a major problem considering it’s not that uncommon to miss a connecting flight and assumed we would be put on the next flight out to Florence. To my dismay, we were told that it was our fault we missed the connection, that the airline was not informed of any delays or long wait times in customs or security and that we would not only have to buy a new flight, but the return home flights were also canceled because we missed the connection. I’ve never felt more abused as a customer of any product or service in my life. I would never recommend Lufthansa. We were even talked down to like we were children by the customer service representatives.";NEGATIVE
lufthansa;2018-09-07;" |  Geneva to Olbia via Frankfurt. We chose Lufthansa over cheaper options for their better time schedule for our flight to Olbia where we'd spend our vacations. The outbound flight was delayed 15 mins. This was sufficient for us to miss our Lufthansa connection in Frankfurt where after running to the connecting gate the Lufthansa personnel told us the gate had closed 5 min before and the bus connection to our plane was not available anymore. They stated nobody informed them about the connection and that there was no possibility for us to board the plane. We were re-routed to another flight (double the duration) and the plane we missed ended up taking off 20 min after we reached the gate. Customer treatment has been sub-par, inflexible and impolite in providing us explanations. This our 3rd flight in a row from Geneva to Frankfurt where we have issues. Last 2 were cancelled due to  adverse weather conditions. Service on board was ok while the planes were not the newest at an above average cost.";NEGATIVE
lufthansa;2018-09-06; |  Chennai to Frankfurt. Arrived at the airport two hours prior to take off. The Checkin was prompt and without any wait. Was sent to the Lounge none of which have much room. The boarding was effortless. The seat was on the harder side - like most German cars and usually the provide very good support. Mine was set at hardness level 3 and did the trick. The service in the plane was very efficient. The cabin staff did a commendable job in serving the us promptly. The food was good but I didn't want to eat yet another Dhal and Paneer with Rice dish! The inflight entertainment was mediocre. The selection was good but not as good as some 5-Star airlines. The flight took off on time and landed early in FRA.;POSITIVE
lufthansa;2018-09-05;" | Flight LH414 (MUC-IAD) was delayed over 4 hours. It happens. Had to re-book the connecting flight for the next day and had to book a hotel in Washington DC overnight on my own. It happens. What I never saw happening until this flight was the complete lack of help from the airline. No help in re-booking (United helped here) and no help with accommodation overnight (flight landed close to midnight and no more connections were possible). On top of that Lufthansa is completely unresponsive to calls or emails after the ordeal. Customer Support asks for receipts for the costs incurred. Once those are submitted: Silence, just nothing.";NEGATIVE
lufthansa;2018-08-29;" | Flew Newark to Kiev via Frankfurt, and returned from Vienna to Newark via Frankfurt with Lufthansa. The inflight entertainment system on the trans-Atlantic flights had a decent selection of movies and music, but my screen kept freezing and crashing, and had to be reset, on both long-haul flights. The food on the EWR-FRA segment was okay, but the chicken meal on the FRA-EWR flight was absolutely horrible. Decent bar service on both long-hauls though. The European flights offered a sandwich with beer/wine/soft drinks, few airlines offer any complimentary service on short-haul flights, so that was nice. My biggest complaint would be that en-route to Kiev, my suitcase was destroyed at Frankfurt airport so I had to buy a new one upon arrival in Kiev. Also, my VIE-FRA connection was too short to be comfortable, 45 minutes to connect at a huge airport like Frankfurt is really stressful. I just barely made it to the gate a few minutes before they closed the doors. My already short connection was made even shorter due to the fact that the flight from Vienna landed what seemed like several miles from the actual terminal, and we were then treated to a 15-minute bus tour of Frankfurt airport, so I ended up literally having to run all the way to my next gate. Overall, I'd still fly LH again, they're still better than any USA-based airline, as well as better than many European ones, but as a supposed 5-star carrier, they really need to improve the food on long-haul flights, work out the glitches in the entertainment system, and take better care of passengers' luggage.";NEGATIVE
lufthansa;2018-08-28; |  Newark to Tel Aviv via Munich. The bad service started at check in time. There was a technical issue and I was not able to get my boarding passes. So i called the call center to make sure the seats are confirmed and all i will have to do is get the boarding passes at the airport. I was assured it was ok and we had the 4 seats together. Then at the airport I found out it was not true. The seats are very hard and unconfortable. The special food we ordered was not delivered on the long flight. On the flight back we were kept on the plane for over 4 hours of delays without understanding how long it was going to take to take off. All in all a terrible experience.;NEGATIVE
lufthansa;2018-08-28;" |  Orlando to Frankfurt. My flight out of Orlando on August 12th was delayed because of weather therefore I missed my connecting flight from Frankfurt to Split. When departing aircraft there was no help whatsoever on support of getting another connecting flight. Finally found a counter that was open with only 4 individuals working and approx. 80 people in line. After standing in line for 2.5 hours I looked up other flights going into Split and the only one left was at 1600 hours. I knew then that we would not make it if we continued to stand in the line that we were currently in. After going through customs into Germany we approached a counter that was loaded with individuals - on the other side there was only 2 lady's working so I spoke with an agent and told her my situation and she took care of us and was very helpful in explaining were we needed to go. We did make the flight thanks to her. I think Lufthansa needs to hire more people like her, excellent customer service!";NEGATIVE
lufthansa;2018-08-26;" |  San Jose to Munich via Frankfurt.  Zero options offered for breakfast, a foil-covered scrambled egg, tomato and sausage combination. Entertainment options were pretty meh. Coming from someone who is accustomed to United levels of service, I was pleasantly surprised that Lufthansa took the time to rebook me on the next available flight when the flight delay for my first leg caused me to miss a connection. As a result, I arrived earlier than I had planned.";POSITIVE
lufthansa;2018-08-23; |  Flying from Belgrade to Brussel via Munich with Lufthansa was very nice. Departure on time on both leg and the crew was friendly. Drinks and snack was for free. The seat was comfortable and the plane was clean. I would fly with them again.;POSITIVE
lufthansa;2018-08-23;" |  The website and mobile app work really bad for me: slow, not user-friendly, old layout, etc.  Not possible to select seats for the first flight (operated by Air Dolomiti - which is Lufthansa Group), and for the return flight from LAX to Munich with a Lufthansa flight. Check in available 48 hrs before departure. Boarding a mess. Lufthansa staff doing nothing for 1h then not able to handle a proper boarding. I found the food in the airplane disgusting. Lost a luggage.";NEGATIVE
lufthansa;2018-08-22;" | Very good airline. Flying from Belgrade to Brussel via Munich, I must say that Lufthansa is very professional. Clean airplane, free drink and snack. The crew were very friendly and during the flight gave us all data about our flight. I recommend using this airline.";POSITIVE
lufthansa;2018-08-21;" |  Chicago to Munich. They asked us to check our carry on because it was overweight. People were bringing in larger pieces. At the airport in Munich it took over an hour to find the luggage. Worst Economy seats on a newer plane, sure! More efficient perhaps, but avoid Lufthansa’s A350.";NEGATIVE
