airlines;date_post;text;sentiment
qatar-airways;2018-09-06;" |  I flew from Tokyo to Casablanca via Doha and back during June and August this year. I was very impressed by the on board facilities overall. My special request for the food was approved and it was good. The flight attendants were fairly attentive and the arrival was on time almost all times. The problem was off-air when they changed the schedule 4 days before the travel, because they cancelled one flight from Casablanca to Doha in the afternoon. I had to stay in airport in Casablanca for 10 hours and no  courtesies were offered for the trouble although I am a privilege club member. Overall, a great experience onboard and terrible experience off-board.";POSITIVE
qatar-airways;2018-09-06;" |  Denpasar to Doha. Offered an upgrade to Business class, but mentioned in the fine print that this is not luggage allowance and comfort equal to a business class ticket. Bieten ein Update auf Business clas an leider wird im Kleingedruckten erwähnt dass nur der Sitz nicht aber Gepäck und Confort gleich einen Business class Ticket entspricht.";NEGATIVE
qatar-airways;2018-09-05;" |  Sydney to Cardiff via Doha. Speedy boarding, left on time, food good, entertainment easy to use and extensive, seat bit more comfortable than usual economy seats. I particularly want to mention the air steward who was just fantastic. So courteous and helpful, he gave exceptional service. Got an upgrade from Doha to Cardiff. Thank you Qatar!";POSITIVE
qatar-airways;2018-09-03;" |  Doha to Muscat return. I would like to express my the best travel experience which I had two days before.  Wonderful experience. The flight quite amazing, Seat space and all experience are amazing. Thanks, Qatar Airways for providing the best travel experience.";POSITIVE
qatar-airways;2018-09-03;" | Flew Doha to Goa. Great airline, with a great service. Truly amazed by the attention to detail. Cabin crew members excellent as always, and inflight entertainment - Oryx One was good, but could have been better. Overall, a great experience. Looking forward to flying again with Qatar Airways.";POSITIVE
qatar-airways;2018-09-02;" |  Milan to Cape Town via Doha. You have to be ""picky"" to fault anything on Qatar Airways : cabin crew is professional, attentive, they cannot do enough for you, food is good, aircraft are clean, everything seems to be working almost perfectly. Perhaps more free WI-FI on board would be a bonus.";POSITIVE
qatar-airways;2018-09-02;" |  Perth to Munich via Doha. The best flight I have ever flown. The flight from Doha to Perth (A380) was simply fabulous in many if not all ways. The flight was new, beautiful, with very comfy seats, lovely food and amazing entertainment system. The crew members were really caring passengers and professional. They were present throughout the flight. The best of the best!";POSITIVE
qatar-airways;2018-08-30;" | Flew Denpasar to Doha . So far my choice of airline still is with Qatar Airways even though on this route they have a little older airplanes. Excellent service onboard, good food and a splendid wine list. Friendly crew who really give superb service with a smile. Still annoyed about no free Wi-Fi when you pay for business class.";POSITIVE
qatar-airways;2018-08-29;" | Flew Mahé, Seychelles to Doha. As always Qatar Airways gives you a great travel experience. Clean new airplane and a very great crew. Selection of wine is splendid and food served when you like to eat gives you to time to work, have a nap or what watch a movie. Just a great experience. Only downside is that even in business class you have to pay extra for Wi-Fi.";POSITIVE
qatar-airways;2018-08-29; | As always a pleasure to fly Qatar Airways from Doha to Stockholm. Clean new planes and a great friendly crew. Service on top with good food and drinks. What you need after a few hours at the airport. Downside no free Wi-Fi not even in business class.;POSITIVE
qatar-airways;2018-08-29;" |  Hyderabad to Atlanta via Doha. Qatar Airways is by far the best business class product I have seen. It beats emirates and etihad hands down. The food is outstanding, cabin comfort is great,  and all food is on demand. The lounge though very crowded at times in morning serves much better food than emirates. Biggest down side compared to emirates is no chauffeur drive. The lounge they use in Atlanta is club atl which is ludicrous. It would be an insult to call it a lounge. ";POSITIVE
qatar-airways;2018-08-26;" |  First class service on both legs of the journey. From Doha to London  I was fortunate to fly A350-1000. The Q-suite was amazing! The seat was comfortable to say the least, the blanket the best on any airline I’ve flowing and I’ve flown quite a few! Privacy could be obtained by closing the door, like the first class suite in Emirates first class. The service was excellent, with extremely attentive and courteous crew. Meal was good, with the option to dine at any time. Loved the entertainment on board- the selection is huge. Everything was slick and span! The coveted complimentary toiletry bag was a purple colour this time! All in all, a most wonderful flight! I would like to take this opportunity to extend my heartfelt thanks to the crew for a wonderful flight. Looking forward to the next one !";POSITIVE
qatar-airways;2018-08-23;" |  I would like to say Thank you to Qatar Airways for taking care of me and hubby during long flight from Kuala Lumpur to Paris return via Doha. It was a long journey but your staff took care of us very well. We do recommend others to please try Qatar Airways. Qatar Airways staff are really  good and take care of us. They all very well deserved for appreciation. Ground Crew also very good. My fragile stuff I checked in and never broken. The ground crew was full of confidence, that their crew take care the luggage very well and got security camera every where. Food was okay. Flight was clean. Entertainment was up to date, got all new movies, TV shows and nice motivational talks. Overall I'll give 9 mark out of 10. 1 mark I cut because of food. Need to improve a bit. Thankyou once again.";POSITIVE
qatar-airways;2018-08-21;" |  Oslo to Melbourne via Doha. Excellent business class airline. I do a lot of business travel and have to say that some, like Qatar, are fantastic and others are not so good. The seat is big and comfortable. The service is attentive and strong. The meals were great as was the service concept - order what you want, when you want. Flights left on time, entertainment options were great - really only had positive feedback on all aspects. Had long sleeps on all flights. The business lounge in Doha airport is the best business lounge I've seen anywhere in the world, which is an added bonus. They are my airline of choice moving forward and have great reach into more minor cities in Europe than other carriers.";POSITIVE
qatar-airways;2018-08-21;" |  Manila to Manchester via Doha. On the 17th  August, Our 2330 pm flight QR929 was canceled. This was because an accident happened a day before when Xiamen Air MF8667 skidded off the runway in a rainy thunderstorm, which led the main runway to be closed. At around 2030 pm, I went to the Main office in the terminal if our flight was canceled or not, and it was. I asked for priority accommodation because I was traveling with my immobile mother who needs rest and my son. They did not refuse as my mother is a priority passenger, and they said that they will give us accommodation also because we checked out of our condominium in Quezon City, and we had no where else to stay. The polite and very nice staff at Qatar Airways is to give us contact numbers for the new flight the next day when the runway will open, then we got on a bus to a five-star hotel that we were amazed by, which the airline paid for, not us! The next day, we get a text from the coordinator that there will be a flight at 1730 pm QR2929, we quickly packed our things and checked out. We finally got to the airport (Terminal 1) and it was shambolic, stranded passengers, crowded, with no coordination, but it was not Qatar Airways' fault, it was the airports' disappointment of not organizing this problem fluently. It took us a while for us to check-in, too crowded, especially with my disabled mom, we got through immigration, security, we finally then got to gates, In an airport, they did not have enough working boards, all of them were not working at all and we couldn't understand where to go at all, except on our ticket, our flight was supposed to depart 1730pm but we departed around 2215pm but I understand, there were too many passengers to handle though. we boarded via stairs and I complained that we did not use a lifter for catering, but that wasn't the airlines' fault though. we got into the cabin my son seated in a different row, while a sat with my mother, the seats were comfortable, the IFE was good, and the food wasn't the best but appetizing, and the staff was very helpful. We landed in Doha, and we missed our 0155 am the QR27 flight to Manchester, they gave us another flight to catch at 0810 am with no fee at all and the expectations were the same as the previous flight.";POSITIVE
qatar-airways;2018-08-16;" |  Paris to Doha. We had a ONE WORLD logo aircraft equipped with the new QSUiTE, I had a technical problem with my seat once I put it the sleeping position it would not work again no matter what they tried it just lost all power, but other than that everything else with the flight was spotless. The IFE was superb especially in the movie selection, food was good and service was 5 star as always with Qatar Airways though the prices were very steep.";POSITIVE
qatar-airways;2018-08-13;" |  Perth to Warsaw via Doha. PER-DOH flight was not as review's suggested. Cabin crew, though nice, were running around like during a fire drill, giving a very bad impression. DOH-WAW flight on the other hand was much more pleasant than expected. Flight crew was absolutely fantastic and very helpful. Inflight entertainment was great and had plenty of moves to choose from however, not many new releases. All in all very, very good value for money!";POSITIVE
qatar-airways;2018-08-13;" |  Doha to Milan after a six hours layover at Doha Hamad Airport. I was a bit tired but not that bad, I was flying coach and I assigned myself a good window place, with just one other seat next to me as the layout was 2-4-2. I was wrong as I had under my feet the IFE box or something similar which made it so narrow. This should not be in any type of seat, but it was ok I found my space in a way to stretch my legs. My IFE was not working, just on arabic, which I don´t speak and I asked for someone to help me out from the staff but after two times being ignored, I gave up and decided to something else, also If watching a film would have been a good idea. The food was ok as well the cleanliness of the aircraft was good.";NEGATIVE
qatar-airways;2018-08-13;" |  Bangkok to Doha. The flight was a really early one, boarding starting at 4.30am in the morning so passengers was really tired. As usual every aircraft from Qatar airways is perfectly clean and you now that you can expect a perfect ambiance, even in coach. I slept half of the flight and the attends actually offered me breakfast but they removed it as I slept on it, really polite.  The whole flight was really good as usual. Love Qatar Airways product.";POSITIVE
qatar-airways;2018-08-10;" |  Melbourne to Madrid via Doha. Between Melbourne and Doha I had an unfortunate accident spilling hot coffee on my lap. I was not hurt in any way but the cabin staff were kind and attentive, even checking up on me several times and offering remedies and suggestions! I would especially like to mention Erika and Zico who did everything to make me feel comfortable. I have travelled this route several times and have always had excellent service.";POSITIVE
qatar-airways;2018-08-08;" |  Travelling from Jakarta to Paris via Doha, but in this case the Flight from Jakarta to Doha using a relatively new Boeing 787. This is my first flight with 787, cabin has fancy lighting spacious cabin luggage. The only problem is the touchscreen on the inflight that cannot navigate properly. I brought my own headset i can barely decrease volume so it is so loud by default. Let alone browsing movies. Everything else was fine, Food was fine, crew were helpful with the bags.";POSITIVE
qatar-airways;2018-08-06;" |  Bombay to Dallas via Doha. I traveled with Qatar many times and have no complaints about the flight and inflight service. I traveled last on 31st July and seriously those people at Mumbai check in counters were very impolite and were kind of rude with me and wife. At one point they asked me to reduce my carry on bags from 2 to 1 irrespective of it meeting the weight criteria when I asked why they replied you will be questioned in Doha that why are you carrying 2 carry-ons? Check-in counters are the first customer facing point, don't ruin that part. ";POSITIVE
qatar-airways;2018-08-02;" |  Melbourne to Rome via Doha. I would like to praise the excellent customer service I received from an agent at the desk at Melbourne Airport. He went out of his way to assist me and after a long stressful day, and  his professionalism courtesy and passion for his position was reflected in his treatment of me.";POSITIVE
