airlines;date_post;text;sentiment
singapore-airlines;2018-09-12;" |  Guangzhou to Denpasar via Singapore booked for December 2018. They rescheduled the connected flight in which made my second flight 1 day earlier than my first flight (both are Singapore Airlines). I asked for cancellation of the whole trip. They delayed the refund for almost a month even I called four times. With only refund of the flight, they still keep those I paid for the seats and said it's non-refundable. I understand if it's my personal reason to cancel the flight, I wouldn't have asked for the refund of the tickets, not to mention the seats. ";NEGATIVE
singapore-airlines;2018-09-12;" |  Midnight flight departing Singapore to London on A380 in economy class, not the favourite way to start a trip. Boarding was efficient and uncomplicated, although the sheer size of the A380 makes for a busy boarding process. We found ourselves on one of SQ's newest A380-800 aircraft, decked out in the new economy class setting with updated seating and AVOD. This configuration has economy and premium economy on the lower deck, and the very premium seats on the upper deck. We were in the 2nd most front row of economy, near to the galley. Seats were relatively comfortable (by Economy standards), with a new styled headrest. The AVOD was presented with a large touch screen, and is now line with the likes of Emirates. Food choices were pretty good (mostly edible), and service was pleasant, if not enthusiastic. We departed and arrived on time, and it was as tolerable as long-haul economy can be, I believe.";POSITIVE
singapore-airlines;2018-09-09;" |  We have previously flown Singapore Airlines in economy, and have always been impressed with the service. This trip was our first experience of Singapore Airlines premium economy. Priority check-in and boarding was quick and easy, with a friendly welcome and offer of assistance from the crew. The premium economy cabin is just three rows in a 2-4-2 configuration, and there is plenty of locker space. The seats are comfortable with a good level of recline and good leg room. There is a calf support, but this serves little purpose, plus a leg rest from the seat in front. Their is a 13inch HD entertainment screen with excellent sound reducing earphones. Having experienced Singapore Airlines excellent economy class service levels, expectations of an even better premium experience are unfortunately not met. Service is economy level. There are no pre- take off drinks, and although champagne is offered when drinks are served after take off, it is in a tiny plastic faux wine glass. Wine is of mediocre quality served in a plastic tumbler. Top ups are a long time in coming as there are no dedicated premium economy crew, and the same staff serve the economy cabin. Meals were the same as economy with extras such as tablecloths absent. The main reason for traveling premium economy is space and comfort, and we had a very comfortable flight and slept well. However we were left with the feeling that Singapore Airlines somewhat belatedly introduced premium economy to keep up with their competitors, but have not totally embraced the concept.";POSITIVE
singapore-airlines;2018-09-09;" |  Singapore to Brisbane. We have flown this route several times previously flying economy, before the introduction of the A350, so were looking forward to the daylight flight on premium economy. Check in and boarding could not be criticized, effortless and quick, with smiling welcoming staff. The premium economy cabin is very pleasant, with lots of locker space, and the seats are comfortable, with good recline and ample leg room. For a daylight flight the entertainment system is paramount, and this is top notch with a 13 inch hadscreen, superb noise cancelling headphones, and a vast selection of programmers. However when it comes to service, standards drop to economy level. No pre-take off drink, nor after take off drinks. A 1 hour wait until meal service, when drinks are served with the meal. Champagne is available, but wines are mediocre and served in plastic tumblers. The last time we flew this route in economy there was at least a proper glass on the tray, but now it is all plastic. Meals were brunch and then a hot snack later, with a choice of two dishes on each occasion, but out of both meals only the ice cream was good. During the flight the crew were very active, with frequent drink runs, and washrooms were well maintained. Overall a very comfortable flight, with an excellent crew, but a level of service not up to expectations for premium economy.";POSITIVE
singapore-airlines;2018-09-08;" | Adelaide to Paris via Singapore. Excellent staff and service. Always friendly, polite and smiling. Hot towels, frequent, drink runs, good food. Extra snacks and drinks available throughout the flight. I liked the drinks holder in seat backs. Seat comfortable. Blanket and pillow. The head support ""wings"" really help. Plenty of entertainment choices and reasonable screen size and quality. I didn't try the wifi. Toilets cleaned regularly during both flights. Baggage transit between flights went smoothly. Both flights were full and for the price, this is about as good as it is reasonable to expect an economy flight to be. I wouldn't hesitate to fly with Singapore Air again. And the bonus. If you are going to have some hours between flights, transiting in Changi is the best place to do it. Plenty to do, or easy to get a rest in the airport. Lots of quality food options at excellent prices.";POSITIVE
singapore-airlines;2018-09-04;" |  Kuala Lumpur to Bangkok via Singapore. Singapore Airlines is for me one of the most elegant when it comes to the design in and out. I had finally an experience to fly with them which was very nice, the service of their cabin crew was amazing. Sincere service I would like to call it. ";POSITIVE
singapore-airlines;2018-08-31;" | Singapore to Hong Kong. New cabin I can t believe SQ spent so much in ""upgrading"" the business class seat which on 777-300 is way more elegant and comfortable. Still same awkward angle and I have never experienced such hard seats. Claustrophobic, narrow, hard and squeezing more seats. Will avoid as much as possible flying on the A380.";NEGATIVE
singapore-airlines;2018-08-29;" |  San Francisco to Singapore. Service was great, they keep on feeding you, the food was awesome. Its was a 16hr flight but I never felt tired or stress, the seats are great. They are the cheapest business class from the Philippines to the USA but they give the best service and product. I was just disappointed there was no Satay.";POSITIVE
singapore-airlines;2018-08-27;" |  Flew with Singapore Airlines on a round trip from Singapore to Shanghai return. The aircraft I flew from Shanghai - Singapore was an older A380. The seat was smaller than expected and I was uncomfortable. However the crew was very friendly and spoke many different languages. The food was not very good as compared to my Singapore to Shanghai leg, but it was definitely edible. IFE was ok, not the fastest IFE I've seen but it was sufficient. This flight was slightly below standard but it was fine. I would fly them again.";POSITIVE
singapore-airlines;2018-08-26;" |  Singapore to Seoul return. Excellent service onboard. Refreshing hot towels were provided before each flight. Food may not be the best but still pretty good. Plenty of movies to choose from with the inflight entertainment, although the system looks rather old on the A330s.";POSITIVE
