airlines;date_post;text;sentiment
united-airlines;2018-09-13;" |  Edinburgh to Charleston via Washington. The flights to Edinburgh were ok but the planes we were on were very old and filthy. I used the warm towel they provide before the meal service to wipe off the center console between the seats and it was black. Yuck! The flight attendants were nice and the food was fine. Our return flights were not good. Our transatlantic flight was cancelled but we were not notified until we were standing in line to check in. We got a nice hotel room amd meals and the flight the next day was on time. But again the plane was filthy, the blanket smelled like body odor and had holes in it, and the wool throw smelled like a wet dog. There is no way those had been cleaned between uses. Again the center console was visibly dirty. I paid almost $5000 for this? The flight attendants were unfriendly and we were made to feel that we were an inconvenience for them. Our connection was in Newark and the plane we were supposed to leave on was diverted to another airport. Flight was delayed for hours while we waited for another plane. That one was United Express and that plane was very old and the interior was not maintained. My husband wents to the lavatory at the back of the plane and said there was a crack in the interior plastic. Part of my armrest was missing. I have to wonder what the state of the mechanics on these aged planes is like if the interior that is visible to the customers is so bad. I will avoid United Airlines whenever possible in the future. Think twice before you book with them.";NEGATIVE
united-airlines;2018-09-12;" |  Lufthansa/United failed to put my luggage on the airplane in Munich, for some unknown reason. Despite filing a claim, my luggage was still sitting in Munich three days later. Eventually, they flew it to Charlotte, NC where I had stayed one night upon my arrival before traveling onwards. I called every night to track the progress (or lack thereof) of my luggage. Even though I had updated the address from the address of the first night's hotel to the new location, every single time I called they had the address of the first night's hotel. Three days after my luggage arrived in Charlotte, I called for the 7th time because I still did not have my bag. They told me it had been dumped off at the hotel where I had stayed 5 nights before, despite the fact that I'd updated the address over and over. So now my luggage is at some hotel I stayed at 5 nights ago that I am not planning to return to. After an hour on the phone with United this evening, he's told me (for the 5th day in a row) that I should have my bag by tomorrow. United is incompetent. Over and over I heard them say, ""I apologize for that, ma'am."" It would seem that they've all be trained to deal with issues in this way, rather than by actually sorting them out. Very, very unhappy with United/Lufthansa and not fly with them again, even if it means paying extra to fly on another airline.";NEGATIVE
united-airlines;2018-09-11;" |  Denver to Philadelphia. The plane was delayed because of a warning light about a fuel pump after the flight was fully loaded. It then took 20 minutes to get a mechanic and another 20 minutes to figure out the warning didn't matter and we could fly anyway. ""its a redundant system"", they told us. The experience was made worse by the fact that there was no air conditioning during the period of the delay on a hot day in Denver. The airplane was not cleaned after arrival in Denver from San Francisco. I was stepping on crackers left on the floor and there was garbage left in the compartment on the back of the seat. My family flies UA regularly but this had me thinking I should look for alternatives now whenever I can.";NEGATIVE
united-airlines;2018-09-11;" |  Tokyo Narita to Hobbs via Houston. I traveled alone with my 10 month old daughter both ways. No flight attendant helped me out in any way like putting luggage up in the cabin, picking up her toys for me, or even just being friendly. Everyone treated me like I was a hassle to deal with. One attendant refused to give me my bassinet because service had started, even though I had already been waiting for an hour. It only takes a few seconds to latch it on. One flight attendant actually made eye contact with my smiley daughter and waved, which was nice. One Japanese male attendant who I spoke to in Japanese, replied to me in English even though (he was speaking Japanese to the other staff so) I know he spoke Japanese. Why not speak back to me in Japanese? That is just plain rude. Other than that, after experiencing JAL last year, I thought the food was extremely disappointing. I also specifically made a phone call just to request a bassinet, but when I went to check in, there was no such request. I was baffled. I can’t say how disappointed and annoyed I was about the staff on both flights. If you are traveling alone with an infant, they will treat you like an inconvenience.";NEGATIVE
united-airlines;2018-09-10; | Perfectly clear day. No weather problems. Delayed and we'll miss our connecting flight again. We have missed connecting flights several times with United Airlines. I hate to fly with them but this was the only option this time.;NEGATIVE
united-airlines;2018-09-10;" |  After arriving at the airport at 4:30am in San Diego we flew into Chicago. Little did we know we would not be leaving that airport for 36 hours. Our flight to our destination was scheduled to leave at 6pm. After our gate got changed 10 times and our flight got delayed further and further we scurried up and down stairs to each one. We then arrived at the last gate at 9:30pm. We sat and sat and were told no updates. We then were told we were waiting on the plane to arrive that we were flying out. The plane landed. BUT we only have one pilot, so we waited for another plane to land for a second pilot. Thenone of the flight attendants timed out on her shift and could no longer board our flight home. BUT by the time the other plane landed the staff timed out as we watched them walk right out of the gangway to the plane passed us never to be seen again. So, we waited on another plane for a whole new crew. We were assured for the first announcement over the intercom of the night that we were heading out soon! At this point it is 11:30pm. 30 minutes later, at 12am, we are notified that the flight is cancelled. after waiting 9 hours and running around the airport, it is canceled. This is not even the worst of it. We call United customer service to see what can be done 2 times (go ahead and listen to those calls- they are pathetic) only to be told there are no more flights to JAX and that we cannot be helped.  The couple in front of us got another flight booked automatically that left 6am the next day why our customer service experience was so different is beyond me. We ended up buying the only flight we could in a different airport. We ended up purchasing a flight from MDW in Chicago to JAX. Sometime after purchasing the flight I was so relieved to find one! That is until I realized the flight I purchased from Delta airlines was on September 27th when I need to leave ORD right then and there on now what is September fourth. So with even more stress added, I am out over $500 more dollars, I still have no way home, I have nowhere to stay no way to travel, I don’t have my luggage, I am defeated. So, after searching for some more time, there are no flights out of ORD to JAX for 2 more days. I ended up purchasing another flight for $935.60 from a different airline and airport in Chicago that did not leave until 1 pm the next day. We were left with no other choice but the sleep on the ground. So, it is now 1:30am. We are wondering where is my luggage that has everything I need in it and were told our luggage went to JAX already without us. It didn’t make sense. So, we then stood in another line and were told that our luggage is at ORD but if we exit to get it, we cannot get back in until the morning. So, we agreed to get our luggage in the morning before we spend another $40+ dollars to transfer to MDW where our new flight is.";NEGATIVE
united-airlines;2018-09-09;" |  Cedar Rapids to Toronto via Chicago. First delayed flight due to weather, then after boarding there was a plane “malfunction” meaning we would miss our connecting flight. Couldn’t get us anything until the following night missing a day and a half of our trip! Then when trying to see if we could get a partial vs full refund depending if we canceled our trip vs still going they said those seats for the next day were now gone! Forget it what a joke! They were so quick to take my money but didn’t refund me for a checked bag I didn’t even take because of the cancelled trip. Phone customer service was just as terrible saying I had to fill out online for a refund when I told them it kept coming up with an error, sounds like lazy workers to me! Will not fly again!";NEGATIVE
united-airlines;2018-09-09;" | Syracuse to Sacramento via Chicago. Never flying United again. If a representative is taking pain to go through the reviews (which I highly doubt), it’s high time to change your employees. What angered me was not the delays or inconveniences of last minute gate/terminal changes. That I can handle. What irked me was the sheer arrogance and attitude that each one of your employees show towards customers in general-especially the ones at Chicago O’Hare. I am yet to come across one who is civil and decent enough. As customers, we shouldn’t have to deal with your employees attitude and sarcasm. I give this airline zero stars. Nowhere else have I felt this poorly treated ever in my life.";NEGATIVE
united-airlines;2018-09-08; |  San Francisco to Seattle. What a joke of an airline. The staff is rude and unprofessional. The whole experience was so stressful that I have sworn myself never again flying United. I don’t even think they care about customer service. The only nice people are the pilots!;NEGATIVE
united-airlines;2018-09-08; |  Newark to Aruba. United cancelled my flight to give the seats to another group that was cancelled the day. Before then delayed my flight and cost me two whole days in an airport and 2 missed days of work . They offered a laughable 150 compensation to fly with them again. Please read before booking. They are over priced and have no one to speak to in customer service only emails and no phone calls or conversations. I will never fly them again and I suggest you do the same;NEGATIVE
